slot_id,slot_width,mac,desc,isiot,dhcp_len,hostname,vendor_class_id,request_params,max_dhcp-size,msg_type,client_id
1546715720.32,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','1','\x014\xe6\xad)d\x8b'
1546715720.32,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','1','\x014\xe6\xad)d\x8b'
1546715723.62,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546715723.62,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718874.04,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718874.04,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718877.34,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718877.34,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718882.1,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546718882.1,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722474.63,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722474.63,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722478.92,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722478.92,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546722939.31,0,e0:94:67:31:ab:f0,lenovo laptop,0,1,'le_computer','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x01\xe0\x94g1\xab\xf0'
1546722939.31,0,e0:94:67:31:ab:f0,lenovo laptop,0,1,'le_computer','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x01\xe0\x94g1\xab\xf0'
1546724668.09,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724668.09,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724672.11,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
1546724672.11,0,34:e6:ad:29:64:8b,Dell laptop,0,1,'User','MSFT 5.0',1; 3; 6; 33; 249; 43; 44; 46; 15; 119; 121; 47; 252; 31,'None','3','\x014\xe6\xad)d\x8b'
